SRR12567135	SRR12567136	SRR12567137	SRR12567138	SRR12567139	SRR12567140	SRR12567141	SRR12567142	SRR12567143	SRR12567144	SRR12567145	SRR12567146	SRR12567147	SRR12567148	SRR12567149	SRR12567150	SRR12567151	SRR12567152	SRR12567153	SRR12567154	SRR12567155	SRR12567156	SRR12567157	SRR12567158	SRR12567159	SRR12567160	SRR12567161	SRR12567162	SRR12567163	SRR12567164	SRR12567165	SRR12567166	SRR12567167	SRR12567168	SRR12567169	SRR12567170	SRR12567171	SRR12567172	SRR12567173	SRR12567174	SRR12567175	SRR12567176	SRR12567177	SRR12567178	SRR12567179	SRR12567180	SRR12567181	SRR12567182	SRR12567183	SRR12567184	SRR12567185	SRR12567186	SRR12567187	SRR12567188	SRR12567189	SRR12567190	SRR12567191	SRR12567192	SRR12567193	SRR12567194	SRR12567195	SRR12567196	SRR12567197	SRR12567198	SRR12567199	SRR12567200	SRR12567201	SRR12567202	SRR12567203	SRR12567204	SRR12567205	SRR12567206	SRR12567207	SRR12567208	SRR12567209	SRR12567210	SRR12567211	SRR12567212	SRR12567213	SRR12567214	SRR12567215	SRR12567216	SRR12567217	SRR12567218	SRR12567219	SRR12567220	SRR12567221	SRR12567222	SRR12567223	SRR12567224	SRR12567225	SRR12567226	SRR12567227	SRR12567228	SRR12567229	SRR12567230	SRR12567231	SRR12567232	SRR12567233	SRR12567234	SRR12567235	SRR12567236	SRR12567237	SRR12567238	SRR12567239	SRR12567240	SRR12567241	SRR12567242	SRR12567243	SRR12567244	SRR12567245	SRR12567246	SRR12567247	SRR12567248	SRR12567249	SRR12567250	SRR12567251	SRR12567252	SRR12567253	SRR12567254	SRR12567255	SRR12567256	SRR12567257	SRR12567258	SRR12567259	SRR12567260	SRR12567261	SRR12567262	SRR12567263	SRR12567264	SRR12567265	SRR12567266	SRR12567267	SRR12567268	SRR12567269	SRR12567270	SRR12567271	SRR12567272	SRR12567273	SRR12567274	SRR12567275	SRR12567276	SRR12567277	SRR12567278	SRR12567279	SRR12567280	SRR12567281	SRR12567282	SRR12567283	SRR12567284	SRR12567285	SRR12567286	SRR12567287	SRR12567288	SRR12567289	SRR12567290	SRR12567291	SRR12567292	SRR12567293	SRR12567294	SRR12567295	SRR12567296	SRR12567297	SRR12567298	SRR12567299	SRR12567300	SRR12567301
asv1	175	4826	15429	7746	11480	3194	29782	12937	178	19319	48868	116719	59709	45794	10647	718	32290	113135	12688	3709	3946	40322	46847	353	25851	46917	2423	33335	6636	520	52889	32971	19073	214	97	2742	8918	74766	115362	37471	8566	24816	84690	24095	74523	43779	19076	84359	135329	89376	36990	71936	2525	96188	5675	41484	17067	18527	13811	5030	61456	4530	73671	1919	76	68	4978	24889	95745	60205	126354	1087	16738	35389	185322	20128	9683	71852	22584	375	35051	83011	236277	19849	42243	46572	136132	41169	90985	17075	471	0	130	178	256	948	53	64	82966	33	42	58	53	94	76	55	0	88	78	16	56	79	107	85	38	90	107	40	45	0	39319	20	88	0	0	0	0	16	0	0	0	62	293	30	0	114	53	75	2124	256	129	58	9040	36	43	0	0	32	0	81691	9803	60070	12136	30153	15796	31803	56800	128924	41139	50	4276	75169	238	6784	134923	6641	12944
asv2	0	126060	14	2692	13	1334	0	0	34825	55885	10	0	41	293	16108	62272	96	0	0	0	0	0	17	103546	0	11	99790	0	196	23	483	0	202	0	24196	13	0	111	35	20	193	127561	29	0	15	368	20	0	39	0	0	0	23	0	31014	103	82	22390	19	30005	114	35	458	127250	20	24	0	0	0	0	0	193143	15	0	25	1162	1743	46	15	0	17	0	0	25628	605	0	693	0	373	4883	1755	3015	3600	0	8222	60	17	17748	119	9	13	8	767	575	17	28	13	175	602	0	23	43	19	3155	68	11336	126	13	58	522	0	0	106	1916	4702	0	130	2813	158	44	34	0	2621	0	28	0	8	0	367	87969	407	1282	0	2389	19	2643	7	446	13132	3288	0	267	158	0	15466	760	82	0	0	0	0	0	387	0	48	0	3323
asv3	0	5	0	0	0	0	0	31	679	884	0	0	59	49	1457	3669	0	0	13084	59013	24	40	0	223	0	0	0	0	0	0	0	0	18	0	4110	0	0	501658	0	0	0	0	0	0	9	0	0	0	0	1146	0	43	0	0	0	0	0	9471	0	0	0	0	0	0	3119	0	0	0	0	0	0	1341	0	0	0	0	0	55	0	0	10	0	0	0	117	0	0	0	507	839	85	227	0	855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	20219	0	0	0	428	0	0	0	0	0	0	33684	0	0	63	0	0	23	676	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	1496	0	24	603	5923	0	588	191	0	1962	30	0	38037	25056	1663	0	57	0	0	51	0	106
asv4	0	0	0	0	559	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	157372	0	0	0	0	11	1713	0	0	0	0	0	0	0	235	211	11	0	0	0	0	0	397	200004	0	80	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1805	16	0	0	0	0	0	0	0	0	66	0	35	0	59	0	0	35	0	0	0	89	0	0	3036	0	0	0	188	0	0	0	0	0	0	0	102	4849	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	797	0	0	0	287850	0	627	0	0
asv5	0	252	5663	1327	207	0	5608	3700	0	216	1448	675	2997	6133	563	0	9076	1635	296	3463	2214	5430	0	1019	2617	1344	83	2381	1583	0	0	2095	5045	132	0	3378	2947	4189	199	3801	9109	1256	8814	11201	545	45848	3159	9349	3649	4207	5948	3117	3454	3513	945	0	7017	5408	5608	767	2006	0	8257	0	0	0	783	35194	2723	1574	922	186	3934	3309	260	1256	0	69280	7008	128	4901	5101	5077	11247	1547	301	1339	12721	2697	1459	21	20	0	0	0	26	0	105	4148	12	15	13	32	9	293	16	0	19	20	15	11	14	38	40	0	325	25	14	10	0	0	0	19	2239	0	0	0	0	0	0	0	11	43	0	0	13	16	0	46	1674	0	0	10016	27	65	0	0	680	0	6884	570	2110	182	341	0	5997	4021	2112	0	40	5444	2056	156	1824	34902	2060	191
asv6	112	588	12991	1363	1590	173	814	2630	1314	5427	6393	11437	8477	17141	828	65	3940	1038	1171	1696	432	10136	309	31	16416	1271	153	31946	685	48	1210	806	2711	110	10311	74	872	1869	19324	14358	484	1833	2885	8187	2492	9597	2313	5801	9739	9304	2216	1287	636	7046	695	6958	1578	937	1731	4373	4774	0	3294	113	0	0	2000	6364	4227	1803	2315	115	1812	3546	5302	461	977	10891	5798	0	1014	13187	12882	3426	3865	8025	11450	993	4777	1593	48	0	12	20	17	16	12	18	2887	11	0	14	0	25	18	12	0	0	15	0	8	12	15	0	11	20	30	9	11	0	1795	0	26	0	0	0	4	0	0	0	0	0	19	8	0	0	8	7	21	14	13	23	1382	11	9	0	0	47	0	14524	1323	4009	843	222	25	5811	18453	2369	4679	0	420	1756	35	2990	3910	1774	3321
asv7	0	572	5790	2021	2629	0	1637	2760	0	3421	8392	76	8566	15276	1531	193	7177	2523	3281	2368	208	13025	0	52	23017	4335	298	5772	936	31	25	2013	1743	59	0	493	52	3159	339	10426	1635	7470	1279	4424	902	37983	2860	19191	1584	10972	4138	4590	1175	1452	833	1876	38	2566	2501	6129	2691	3010	2048	0	0	9	11908	7670	5186	850	17	150	968	4457	826	5964	58	12462	100	61	4008	9188	955	3297	1597	0	8991	2047	10071	1928	103	18	0	101	50	118	27	49	6847	19	20	191	36	307	99	21	0	40	78	0	23	21	38	110	105	32	75	23	24	0	4784	0	32	6	0	52	0	47	31	17	0	34	996	36	0	16	6	331	34	948	37	49	381	323	335	8	12	430	0	3804	0	6970	1641	254	1514	4261	19699	2969	13907	0	241	901	43	2715	1937	1318	2423
asv8	0	0	0	0	0	0	0	0	0	0	0	0	0	7	12	0	0	0	0	0	0	0	0	0	0	0	28480	0	0	0	0	0	5	0	0	0	0	0	61	24	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	4507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	46	0	13	0	0	0	0	0	0	0	0	15660	1276	75423	0	66850	0	768	0	10640	14994	5660	3456	5432	3986	273	605	11959	157	0	1283	4442	2430	2320	598	51	4499	2075	894	0	0	1037	102	12983	1041	3823	0	5159	95	4807	0	0	38320	0	0	17341	2041	12505	0	5111	807	175	0	2345	6068	5301	193	21684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	21	0	0
asv9	0	16	0	0	0	0	0	49	284	417	0	0	0	0	926	4032	0	0	40122	41654	46	43	0	3825	0	0	0	0	6	0	0	0	0	19	349	0	0	96641	0	0	0	0	0	0	9	0	0	0	0	0	23	52	0	0	59	0	0	85	20	0	14	0	17	0	0	0	0	0	0	14	13	1279	0	0	11	0	25	13	0	0	0	0	0	0	43	14	0	0	0	732	120	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	5	0	0	25	0	0	0	0	0	0	99568	0	0	50	0	0	27	664	0	0	0	0	0	0	0	0	0	0	0	0	0	15	27	0	0	4490	0	0	541	3389	0	0	39	0	1264	47	0	18	79790	1156	0	0	0	0	20	27	48
asv10	159	150	6135	1440	196	122	4858	4394	23	1355	2942	9426	8045	69447	315	286	1018	2373	787	19665	764	11522	167	194	2427	15387	71	7445	696	9	158	2475	631	958	0	1040	4878	2253	5673	1768	1688	1501	2280	3475	998	313	2204	1777	629	9685	1411	236	408	1127	224	3341	457	1125	2442	612	1274	15755	1573	0	11	0	1042	2274	7745	640	36	245	1730	1622	2640	637	652	3431	0	110	8982	3173	370	2391	626	2666	8741	5236	1397	649	38	74	39	327	0	849	48	67	890	15	0	24	0	159	146	23	16	0	821	0	0	21	58	557	316	27	198	124	0	0	3901	0	39	0	22	92	0	117	339	6	0	15	3624	130	0	8140	9	3503	122	4518	25	34	815	597	102	36	0	1439	11	1610	693	1877	151	219	921	3728	19960	2876	2135	16	234	967	69	761	8422	497	1169
