SRR12533881	SRR12533882	SRR12533883	SRR12533884	SRR12533885	SRR12533886	SRR12533887	SRR12533888	SRR12533889	SRR12533890	SRR12533891	SRR12533892	SRR12533893	SRR12533894	SRR12533895	SRR12533896	SRR12533897	SRR12533898	SRR12533899	SRR12533900	SRR12533901	SRR12533902	SRR12533903	SRR12533904	SRR12533905	SRR12533906	SRR12533907	SRR12533908	SRR12533909	SRR12533910	SRR12533911	SRR12533912	SRR12533913	SRR12533914	SRR12533915	SRR12533916	SRR12533917	SRR12533918	SRR12533919	SRR12533920	SRR12533921	SRR12533922	SRR12533923	SRR12533924	SRR12533925	SRR12533926	SRR12533927	SRR12533928	SRR12533929	SRR12533930	SRR12533931	SRR12533932	SRR12533933	SRR12533934	SRR12533935	SRR12533936	SRR12533937	SRR12533938	SRR12533939	SRR12533940	SRR12533941	SRR12533942	SRR12533943	SRR12533944	SRR12533945	SRR12533946	SRR12533947	SRR12533948	SRR12533949	SRR12533950	SRR12533951	SRR12533952	SRR12533953	SRR12533954	SRR12533955	SRR12533956	SRR12533957	SRR12533958	SRR12533959	SRR12533960	SRR12533961	SRR12533962	SRR12533963	SRR12533964	SRR12533965	SRR12533966	SRR12533967	SRR12533968	SRR12533969	SRR12533970	SRR12533971	SRR12533972	SRR12533973	SRR12533974	SRR12533975	SRR12533976	SRR12533977	SRR12533978	SRR12533979	SRR12533980	SRR12533981	SRR12533982	SRR12533983	SRR12533984	SRR12533985	SRR12533986	SRR12533987	SRR12533988	SRR12533989	SRR12533990	SRR12533991	SRR12533992	SRR12533993	SRR12533994	SRR12533995	SRR12533996	SRR12533997	SRR12533998	SRR12533999	SRR12534000	SRR12534001	SRR12534002	SRR12534003	SRR12534004	SRR12534005	SRR12534006	SRR12534007	SRR12534008	SRR12534009	SRR12534010	SRR12534011	SRR12534012	SRR12534013	SRR12534014	SRR12534015	SRR12534016	SRR12534017	SRR12534018	SRR12534019	SRR12534020
asv1	29843	113964	69112	143835	17431	22526	1221	18632	23482	13875	21636	8058	39552	208214	36423	28932	54688	42595	26727	9888	35927	38610	94642	2685	9347	8974	27313	13403	3513	409	37208	88619	38567	39531	248851	20992	15103	2949	23135	36363	5284	205814	4902	16768	45047	24153	62568	73507	5174	639	118780	50270	78453	120777	77842	25819	39658	1369	35685	10330	7799	49031	223990	5146	30783	28630	68165	36241	69981	10386	24818	26272	24879	30855	7759	87540	33005	59926	18363	34375	120986	12357	105256	86861	99832	96619	98627	72152	40061	57911	44133	1484	35468	147606	7323	104569	7123	33864	13979	84897	41331	18469	7577	30065	7100	19875	14907	244	94	21530	18	42225	10321	40930	9629	180753	37147	4907	32167	51419	2048	43143	92	19085	5727	5634	28779	38124	141837	28574	59018	15182	53671	346	1330	7717	16367	35426	15013	10883
asv2	0	0	0	0	31	20	221614	17	11	3544	0	7443	0	41	104971	87	17	0	21	6	38	187	62	0	0	0	0	0	0	0	20	0	76	0	0	26906	23105	15	23	0	0	0	0	42	641	2711	7	37	0	268	32	0	96	43	122	22	22	0	10	34	14	27	42	232942	0	0	0	2915	0	0	0	120	407	278	0	0	0	75	0	0	188	0	205	47	0	81	73	0	39	69	43	151070	117	54	0	4	39046	0	0	13	55	99	21	0	330713	24465	23	16719	33	96	0	0	1857	16	0	110	58	39	0	260	138601	0	23	2	0	0	0	12	58	0	0	0	0	0	173013	0	5	5	6	99
asv3	3335	3350	1831	1069	20041	1193	210	4392	13951	208	371	0	3762	296	16917	6396	1646	5738	8558	303	12749	6440	5438	8084	3364	0	23373	0	192	129	5243	5428	0	1952	5381	11999	6208	3669	46861	8464	6858	0	8390	0	1653	6926	84746	4275	1030	0	6733	318	4438	208	16	202	4015	7020	252	10975	92166	26001	9904	4858	19205	3938	988	10021	4867	1030	7162	3815	3192	9880	10417	23613	1111	13727	13330	55718	17006	1261	1347	7340	3835	19396	22582	1188	35002	3361	22278	95	6260	2154	66	3906	1251	9280	45301	489	473	7747	188	7262	1140	6003	6211	20	0	8258	23	0	0	10123	10657	4954	7651	0	376	996	0	13320	0	3053	1856	889	1465	15803	37090	41198	50681	595	6825	2176	0	2456	6451	2363	7354	0
asv4	2243	6100	969	22	2051	1868	172	1056	2755	2560	1998	1346	4999	928	10903	2646	9369	13651	120	4279	1338	8358	1650	151	941	0	1729	247	0	64	4239	9753	4641	905	977	3462	962	524	17181	47275	5098	3674	3769	493	1712	111	23289	3531	2784	5766	1150	0	3330	351	0	20	11016	2197	4079	3499	45293	13411	7462	4926	11351	4172	310	599	123	5831	11501	4991	9987	5335	11365	42941	0	3218	1060	2888	14281	4451	3977	9053	27470	114	8656	379	2533	1083	23444	6316	4921	73731	699	1576	1003	4720	4781	17	21	46	9862	2072	1673	2718	2704	143	13	19620	0	5100	64	1962	404	33878	3284	3251	267	85	0	2133	0	370	367	13411	221	13502	2034	8684	109	539	4342	105	50	1536	5320	733	791	33
asv5	202	8600	3398	0	4005	136	54	4313	2611	0	0	1163	245	192	2379	1348	4544	23255	0	10057	0	5229	310	0	152	0	3151	13989	0	0	1382	31559	7097	3865	0	0	481	142	679	51575	3600	0	2280	27	0	6	16725	4008	1065	11548	0	0	0	117	0	0	3308	1153	0	2274	69412	2913	5654	14910	0	0	2404	275	4946	12613	889	659	534	5397	12730	5555	0	1637	556	4226	9446	145	0	490	18	73	13247	3184	3625	2938	28361	4491	1768	87681	0	6328	557	4710	0	22	29	2645	15013	1072	3198	2761	26072	0	0	19167	0	1964	0	2309	0	19257	5044	0	0	0	0	20585	0	0	2715	12025	4632	12939	20899	14676	0	710	23480	0	14	3463	2217	75	0	0
asv6	490	9533	748	49	2332	826	283	1927	681	1264	259	1859	1851	3058	5431	1954	3324	12228	0	9990	9195	943	6380	821	13684	76	5487	0	21	119	9693	3404	11358	6837	396	2557	2212	1129	5991	56028	18644	452	1384	1125	667	2477	16440	5820	460	38425	5150	2861	2342	5980	519	310	1845	2854	400	1350	61637	19560	5044	1587	1207	3610	40	397	89	4378	18266	1662	2221	7579	23039	50161	0	1330	1085	2784	12713	1076	2512	6938	15692	409	5306	1016	452	1889	8832	7027	3894	17276	1320	1253	317	4881	13107	22	571	502	14504	7331	1224	1217	2681	458	0	10567	0	4166	703	1842	869	20535	2855	17306	239	347	0	5509	14	860	129	1199	448	3505	8932	2667	13074	856	1783	130	116	606	914	939	2492	16
asv7	8037	5121	2098	2723	843	970	136	2016	6032	3556	3660	1604	4049	6004	14464	736	7241	10793	7142	888	2578	3017	9263	446	1448	379	5160	11622	60	0	1071	14198	20	5769	13655	3644	543	82	1919	3889	1827	4009	587	819	4143	299	7126	13813	2341	13	10280	8606	1977	20311	16	2415	15160	927	3794	2166	14635	18029	1799	1647	8850	3835	2097	8301	1611	1339	605	4938	15760	1102	7552	16028	1711	1643	1590	5662	21060	1556	13439	21031	20875	16802	26754	1916	1587	775	8265	1579	2729	12890	285	7899	873	8509	17350	2625	3412	1732	1929	841	3639	1008	1902	0	0	3471	0	1985	1051	1275	1489	23460	4720	0	239	3085	122	1054	0	4480	499	2268	22071	11246	4160	7438	740	5619	5605	59	0	2063	1375	3752	3190	0
asv8	0	0	0	0	0	0	1507	0	0	112	0	0	0	0	3489	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	4536	0	0	0	0	0	44	0	126	0	0	0	0	0	0	21	520832	0	0	0	0	0	0	0	0	0	0	0	9	0	7640	0	0	195	17	53	572	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	27151	0	0	10	0	0	0	0	0	0	0	0	0	0	10322	0	71	0	0	21452	35573	33	0	0	0	0	0	0	18	0	0	3524	0	0	0	0	0	65	0	0	0	0	0	0	19	0	0	0	0
asv9	284	774	1051	0	7890	773	3813	2451	1243	0	104	74	1236	267	969	6611	724	2649	12	2397	4865	1484	3791	412	2457	39	12081	0	329	35	6122	7241	0	491	2666	2193	2905	1065	27919	5831	2053	0	5704	0	1376	1518	45448	1758	599	546	7445	213	19500	3988	0	239	10946	860	441	3205	3442	13165	2509	1084	5226	2009	95	0	2027	233	1706	1332	92	9484	24630	1456	85	1243	7003	24003	4541	1612	252	3103	245	20	12075	467	10507	910	7471	3304	2466	9837	59	1189	165	7775	3157	0	591	3213	109	3791	1304	2233	2814	10	0	4818	0	0	641	593	5673	3211	1179	0	160	1193	0	14467	0	0	0	471	0	2115	9530	6094	6986	134	1911	4510	0	151	14720	1407	1470	0
asv10	430	1421	759	26	13380	0	11428	1093	1366	2381	113	2427	1034	127	7922	1236	559	2266	0	703	1609	962	2681	1276	7895	33	13652	0	277	29	4320	776	0	876	5425	1344	1705	1818	12805	0	708	0	5447	0	885	3673	35661	713	797	277	8041	0	1402	4393	7	68	1466	1558	127	2378	972	14560	5712	1990	4309	1390	172	882	1316	1666	9848	259	196	3947	26888	911	0	681	3035	10122	2310	637	326	2499	584	18	241	987	10804	2396	6707	1004	7263	13165	25	887	323	3470	3463	0	0	1818	84	3336	979	1500	2449	0	0	3990	0	0	405	3335	0	271	2698	0	158	1300	7	28290	0	14	389	273	79	5692	10276	6158	16295	82	3667	15614	0	442	16844	1952	1567	0
