HRGM name,Genome name,GTDB Taxonomy,Member Count,Continents,Country,Study.x,Genome type,16S rRNA,Quality,Completeness (%),Contamination (%),N50 (bp),Genome Length (bp),phylum,class,order,family,genus,species,sample,V1,Assay,Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center,Name3,Collection_Date,Consent,DATASTORE,filetype,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Isolation_source,Lat_Lon,Library,Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,REPLICATE,samp_collect_device,Sample,Name2,SRA,Study.y,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,Freq
HRGM_Genome_0004,GUT_GENOME096243,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A concisus_R,25,Africa;NA;Asia;North America;Europe,Denmark;South Korea;South Africa;NA;Sweden;Japan;United States,NCBI;HGM;KIJ;CIBIO;PATRIC/IMG;EBI,MAG;Isolate,Direct,HQ,99.32,0,832312,1895632,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_A,Campylobacter_A concisus_R,SRR12533888,8,AMPLICON,599,160916268,PRJNA549977,SAMN15902768,Metagenome,or,environmental,103256928,CEDARS-SINAI,MEDICAL,CENTER,2018-04-18,public,SRX9023914,USA,North,America,USA:,California,Homo,sapiens,Illumina,MiSeq,Digestive,tract,34.052235,N,118.243683,W,133,PAIRED,PCR,METAGENOMIC,human,gut,metagenome,ILLUMINA,2020-08-27,non-SIBO,replicate,76,Upper,endoscopy,133Duodenal,aspirate,SRP279051,0.0023454124664108976
HRGM_Genome_0004,GUT_GENOME096243,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A concisus_R,25,Africa;NA;Asia;North America;Europe,Denmark;South Korea;South Africa;NA;Sweden;Japan;United States,NCBI;HGM;KIJ;CIBIO;PATRIC/IMG;EBI,MAG;Isolate,Direct,HQ,99.32,0,832312,1895632,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_A,Campylobacter_A concisus_R,SRR12533890,10,AMPLICON,592,114164948,PRJNA549977,SAMN15902766,Metagenome,or,environmental,69505303,CEDARS-SINAI,MEDICAL,CENTER,2018-04-17,public,SRX9023912,USA,North,America,USA:,California,Homo,sapiens,Illumina,MiSeq,Digestive,tract,34.052235,N,118.243683,W,131,PAIRED,PCR,METAGENOMIC,human,gut,metagenome,ILLUMINA,2020-08-27,SIBO-replicate,replicate,17,Upper,endoscopy,131Duodenal,aspirate,SRP279051,0.0017721746152810803
HRGM_Genome_0004,GUT_GENOME096243,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A concisus_R,25,Africa;NA;Asia;North America;Europe,Denmark;South Korea;South Africa;NA;Sweden;Japan;United States,NCBI;HGM;KIJ;CIBIO;PATRIC/IMG;EBI,MAG;Isolate,Direct,HQ,99.32,0,832312,1895632,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_A,Campylobacter_A concisus_R,SRR12533903,23,AMPLICON,599,269754612,PRJNA549977,SAMN15902755,Metagenome,or,environmental,177656208,CEDARS-SINAI,MEDICAL,CENTER,2018-03-28,public,SRX9023899,USA,North,America,USA:,California,Homo,sapiens,Illumina,MiSeq,Digestive,tract,34.052235,N,118.243683,W,117,PAIRED,PCR,METAGENOMIC,human,gut,metagenome,ILLUMINA,2020-08-27,non-SIBO,replicate,65,Upper,endoscopy,117Duodenal,aspirate,SRP279051,0.003387037318125637
HRGM_Genome_0004,GUT_GENOME096243,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A concisus_R,25,Africa;NA;Asia;North America;Europe,Denmark;South Korea;South Africa;NA;Sweden;Japan;United States,NCBI;HGM;KIJ;CIBIO;PATRIC/IMG;EBI,MAG;Isolate,Direct,HQ,99.32,0,832312,1895632,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_A,Campylobacter_A concisus_R,SRR12533906,26,AMPLICON,599,109535073,PRJNA549977,SAMN15902752,Metagenome,or,environmental,69976572,CEDARS-SINAI,MEDICAL,CENTER,2018-03-22,public,SRX9023896,USA,North,America,USA:,California,Homo,sapiens,Illumina,MiSeq,Digestive,tract,34.052235,N,118.243683,W,113,PAIRED,PCR,METAGENOMIC,human,gut,metagenome,ILLUMINA,2020-08-27,non-SIBO,replicate,62,Upper,endoscopy,113Duodenal,aspirate,SRP279051,0.0037501056367785007
HRGM_Genome_0004,GUT_GENOME096243,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A concisus_R,25,Africa;NA;Asia;North America;Europe,Denmark;South Korea;South Africa;NA;Sweden;Japan;United States,NCBI;HGM;KIJ;CIBIO;PATRIC/IMG;EBI,MAG;Isolate,Direct,HQ,99.32,0,832312,1895632,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_A,Campylobacter_A concisus_R,SRR12533907,27,AMPLICON,599,235508658,PRJNA549977,SAMN15902751,Metagenome,or,environmental,152205501,CEDARS-SINAI,MEDICAL,CENTER,2018-03-19,public,SRX9023895,USA,North,America,USA:,California,Homo,sapiens,Illumina,MiSeq,Digestive,tract,34.052235,N,118.243683,W,111,PAIRED,PCR,METAGENOMIC,human,gut,metagenome,ILLUMINA,2020-08-27,non-SIBO,replicate,61,Upper,endoscopy,111Duodenal,aspirate,SRP279051,0.03729351076855141
HRGM_Genome_0004,GUT_GENOME096243,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A concisus_R,25,Africa;NA;Asia;North America;Europe,Denmark;South Korea;South Africa;NA;Sweden;Japan;United States,NCBI;HGM;KIJ;CIBIO;PATRIC/IMG;EBI,MAG;Isolate,Direct,HQ,99.32,0,832312,1895632,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_A,Campylobacter_A concisus_R,SRR12533914,34,AMPLICON,599,254867709,PRJNA549977,SAMN15902745,Metagenome,or,environmental,168643991,CEDARS-SINAI,MEDICAL,CENTER,2018-03-07,public,SRX9023888,USA,North,America,USA:,California,Homo,sapiens,Illumina,MiSeq,Digestive,tract,34.052235,N,118.243683,W,103,PAIRED,PCR,METAGENOMIC,human,gut,metagenome,ILLUMINA,2020-08-27,non-SIBO,replicate,55,Upper,endoscopy,103Duodenal,aspirate,SRP279051,0.0068033125393961785
HRGM_Genome_0004,GUT_GENOME096243,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A concisus_R,25,Africa;NA;Asia;North America;Europe,Denmark;South Korea;South Africa;NA;Sweden;Japan;United States,NCBI;HGM;KIJ;CIBIO;PATRIC/IMG;EBI,MAG;Isolate,Direct,HQ,99.32,0,832312,1895632,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_A,Campylobacter_A concisus_R,SRR12533928,48,AMPLICON,600,255789888,PRJNA549977,SAMN15902732,Metagenome,or,environmental,148663323,CEDARS-SINAI,MEDICAL,CENTER,2018-02-12,public,SRX9023874,USA,North,America,USA:,California,Homo,sapiens,Illumina,MiSeq,Digestive,tract,34.052235,N,118.243683,W,84,PAIRED,PCR,METAGENOMIC,human,gut,metagenome,ILLUMINA,2020-08-27,non-SIBO,replicate,46,Upper,endoscopy,84Duodenal,aspirate,SRP279051,0.003411276055688024
HRGM_Genome_0004,GUT_GENOME096243,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A concisus_R,25,Africa;NA;Asia;North America;Europe,Denmark;South Korea;South Africa;NA;Sweden;Japan;United States,NCBI;HGM;KIJ;CIBIO;PATRIC/IMG;EBI,MAG;Isolate,Direct,HQ,99.32,0,832312,1895632,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_A,Campylobacter_A concisus_R,SRR12533929,49,AMPLICON,594,45044767,PRJNA549977,SAMN15902731,Metagenome,or,environmental,26182935,CEDARS-SINAI,MEDICAL,CENTER,2018-02-12,public,SRX9023873,USA,North,America,USA:,California,Homo,sapiens,Illumina,MiSeq,Digestive,tract,34.052235,N,118.243683,W,83,PAIRED,PCR,METAGENOMIC,human,gut,metagenome,ILLUMINA,2020-08-27,non-SIBO,replicate,45,Upper,endoscopy,83Duodenal,aspirate,SRP279051,0.001753089027352413
HRGM_Genome_0004,GUT_GENOME096243,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A concisus_R,25,Africa;NA;Asia;North America;Europe,Denmark;South Korea;South Africa;NA;Sweden;Japan;United States,NCBI;HGM;KIJ;CIBIO;PATRIC/IMG;EBI,MAG;Isolate,Direct,HQ,99.32,0,832312,1895632,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_A,Campylobacter_A concisus_R,SRR12533931,51,AMPLICON,600,335844461,PRJNA549977,SAMN15902729,Metagenome,or,environmental,192923299,CEDARS-SINAI,MEDICAL,CENTER,2018-02-08,public,SRX9023871,USA,North,America,USA:,California,Homo,sapiens,Illumina,MiSeq,Digestive,tract,34.052235,N,118.243683,W,81,PAIRED,PCR,METAGENOMIC,human,gut,metagenome,ILLUMINA,2020-08-27,non-SIBO,replicate,44,Upper,endoscopy,81Duodenal,aspirate,SRP279051,0.0044827534783840614
HRGM_Genome_0004,GUT_GENOME096243,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A concisus_R,25,Africa;NA;Asia;North America;Europe,Denmark;South Korea;South Africa;NA;Sweden;Japan;United States,NCBI;HGM;KIJ;CIBIO;PATRIC/IMG;EBI,MAG;Isolate,Direct,HQ,99.32,0,832312,1895632,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_A,Campylobacter_A concisus_R,SRR12533941,61,AMPLICON,600,431173075,PRJNA549977,SAMN15902720,Metagenome,or,environmental,249196674,CEDARS-SINAI,MEDICAL,CENTER,2018-01-11,public,SRX9023861,USA,North,America,USA:,California,Homo,sapiens,Illumina,MiSeq,Digestive,tract,34.052235,N,118.243683,W,70,PAIRED,PCR,METAGENOMIC,human,gut,metagenome,ILLUMINA,2020-08-27,non-SIBO,replicate,36,Upper,endoscopy,70Duodenal,aspirate,SRP279051,0.0030053237162974413
